actor,name,red,yellow,blue,keywordProvide,cost,keywordCost,action,effect,details
fighter,Fighter,,,,,,,"Light Armor: 1 flip on defense, +1 fatigue on reshuffle",,
fighter,Power,5,2,2,,,,,,
fighter,Speed,2,5,2,,,,,,
fighter,Power Attack,4,2,2,,2,,attack |x|: strength = |x| + 3,basic wound,
fighter,Precise Strike,1,4,3,,2,,attack |y|: strength = |y|,basic wound,ignore 1 armor
fighter,Quick Attack,2,3,2,,1,,attack |y|: strength = |y|+1,basic wound,
fighter,Attack,3,2,2,,1,,attack |x|: strength |x| + 2,basic wound,
fighter,Dodge,1,3,3,,,,defend |x| or |y|: strength = |y|+4,,You cannot apply armor on this defense
fighter,Parry,2,4,3,,,,defend |x| or |y|: strength |y|,,
fighter,Endure,1,0,0,,,,,,strength +4 when used to defend from anywhere
fighter,Pressing Attack,4,1,1,,,,attack |x|: strength = |x|,basic wound,can spend this on an attack next turn
fighter,Consistent Attack,2,2,3,,1,,attack |x|: strength = |x| + 2,basic wound,Option: recover to hand then expend your first draw
fighter,Make Opportunity,3,3,3,,,,defend: you may use this as a resource to attack next turn,,
fighter,Clumsy Attack,3,1,1,,2,,attack |x|: strength = |x| + 2,basic wound,
fighter,Backswing,3,2,1,,"1, attacked last turn",,attack |x|: strength = |x| + 3,basic wound,
fighter,All in,2,2,1,,3,,attack |x|: strength = |x| + 4,basic wound,
fighter,Athletics,4,4,2,,,,,,
fighter,Bully,2,2,2,,1,,attack |x|: strength = |x|,basic wound,target must expend a card to attack next roud
fighter,Cautious attack,2,3,2,,1,,attack |y|: strength = |y|,basic wound,you may apply this card to defense this round
fighter,Feint,1,3,3,,1,,attack |y|: strength = |y| + 4,Target must expend additional cards to defend against you next turn; Minor: 1 card; Major: 2 cards; Critical: 3 cards,
fighter,Efficient Attack,2,3,3,,2,,attack |y|: strength |y|,basic wound,reclaim 1 resourse from this attack to hand
