name,narrativeText,rulesText,option1,option2,option3,option4,option5
Wolf Pair,"You come across a pair of wolves, they look hungry and attack",Fight 2 wolves,,,,,
Rainbow Mushrooms,"There is a circle of 6 mushrooms, the colors of the rainbows","There are six mushrooms you can pick, eat, or ignore",Ignore them and move on,Eat the mushrooms,Pick them and save for later,,
Wild Pumpkin Hill,As you crest a hill there are pumpkins growing on the top of it,,,,,,
Thunder Viper,A thunder Viper descends from a tree and attacks you,Fight 1 Thunder Viper,,,,,
Mysterious Owl,A mysterious owl flys away from a tree as you pass,,,,,,
Oh! Deer!,As you walk through the forest a deer is startled and jumps from a nearby bush and runs away,,,,,,
Trees,You see trees,,,,,,
More Trees,You see more trees,,,,,,
More Trees,You see more trees,,,,,,
More Trees,You see more trees,,,,,,
More Trees,You see more trees,,,,,,
More Trees,You see more trees,,,,,,
,,,,,,,
Goblin Gate Guards,For goblins stand guard at the entrance to the ogre stronghold,Fight 4 goblins,,,,,
Goblin Patrol,A group of goblins patrol the dungeon,fight 1d6 goblins,,,,,
Goblin Patrol,A group of goblins patrol the dungeon,fight 1d6 goblins,,,,,
Long Hallway,You walk down a long hallway,,,,,,
Big Heavy Door,You go through a big heavy door,3 characters need to work together to open the door,,,,,
Locked Door,You encounter a locked door,"You must get through the door, you can:",Break it with a strength 12 red attack,Set it on fire,Pick the lock,,
Twisty Passages,The hallways  here are very twisty,,,,,,
Fight the Ogre,You have made it to the throne room. The ogre stands from its throne and attacks you,Fight the ogre,,,,,
Treasure,Behind the throne there is a treasure chest. You open it to find treasure,Contains:,Giraffe Shield,Star Gem,Moon Hat,,
