actor	name	red	yellow	blue	keywordProvide	cost	keywordCost	action	effect	details
Ogre	Ogre									
Ogre	Punch	5	4	2		2		attack |x|: strength |x| + 4	basic wound	
Ogre	Punch	5	4	2		2		attack |x|: strength |x| + 4	basic wound	
Ogre	Punch	5	4	2		2		attack |x|: strength |x| + 4	basic wound	
Ogre	Punch	5	4	2		2		attack |x|: strength |x| + 4	basic wound	
Ogre	Punch	5	4	2		2		attack |x|: strength |x| + 4	basic wound	
Ogre	Punch	5	4	2		2		attack |x|: strength |x| + 4	basic wound	
Ogre	Punch	5	4	2		2		attack |x|: strength |x| + 4	basic wound	
Ogre	Smash	6	3	2		3		attack |x|: strength |x| + 5	basic wound	
Ogre	Smash	6	3	2		3		attack |x|: strength |x| + 5	basic wound	
Ogre	Smash	6	3	2		3		attack |x|: strength |x| + 5	basic wound	
Ogre	Smash	6	3	2		3		attack |x|: strength |x| + 5	basic wound	
Ogre	Smash	6	3	2		3		attack |x|: strength |x| + 5	basic wound	
Ogre	Stomp	5	3	2		2		attack |x|: strength |x| + 3	basic wound	
Ogre	Stomp	5	3	2		2		attack |x|: strength |x| + 3	basic wound	
Ogre	Stomp	5	3	2		2		attack |x|: strength |x| + 3	basic wound	
Ogre	Stomp	5	3	2		2		attack |x|: strength |x| + 3	basic wound	
Ogre	Stomp	5	3	2		2		attack |x|: strength |x| + 3	basic wound	
Ogre	Throw Rock	4	6	2		3		attack |x|: strength |x| + 2	basic wound	ranged attack
Ogre	Throw Rock	4	6	2		3		attack |x|: strength |x| + 2	basic wound	ranged attack
Ogre	Throw Rock	4	6	2		3		attack |x|: strength |x| + 2	basic wound	ranged attack
Ogre	Ogre Strength	8	2	2						
Ogre	Ogre Strength	8	2	2						
Ogre	Ogre Strength	8	2	2						
Ogre	Ogre Strength	8	2	2						
										
										
Bridge Troll	Bridge Troll	x	x	z				light armor recover 1 cards to bottom of deck per ukpeep		
Bridge Troll	Smash	4	3	2		3		attack |x|: strength = |x| + 2		
Bridge Troll	Smash	4	3	2		3		attack |x|: strength = |x| + 2		
Bridge Troll	Smash	4	3	2		3		attack |x|: strength = |x| + 2		
Bridge Troll	Smash	4	3	2		3		attack |x|: strength = |x| + 2		
Bridge Troll	Punch	5	3	2		2		attack |x|: strength = |x| + 1		
Bridge Troll	Punch	5	3	2		2		attack |x|: strength = |x| + 1		
Bridge Troll	Punch	5	3	2		2		attack |x|: strength = |x| + 1		
Bridge Troll	Punch	5	3	2		2		attack |x|: strength = |x| + 1		
Bridge Troll	Claw	4	4	2		1		attack |x|: strength = |x| + 1		
Bridge Troll	Claw	4	4	2		1		attack |x|: strength = |x| + 1		
Bridge Troll	Claw	4	4	2		1		attack |x|: strength = |x| + 1		
Bridge Troll	Claw	4	4	2		1		attack |x|: strength = |x| + 1		
Bridge Troll	Rend	5	4	3		3		attack |x|: strength = |x| + 3		
Bridge Troll	Rend	5	4	3		3		attack |x|: strength = |x| + 3		
Bridge Troll	Rend	5	4	3		3		attack |x|: strength = |x| + 3		
Bridge Troll	Brutish strength	6	3	2						
Bridge Troll	Brutish strength	6	3	2						
Bridge Troll	Brutish strength	6	3	2						
Bridge Troll	Thick hide	4	2	4		1+		defend: this and all resources spent with it remain as state and spend to protect against the next attack as well		
Bridge Troll	Thick hide	4	2	4		1+		defend: this and all resources spent with it remain as state and spend to protect against the next attack as well		
Bridge Troll	Toughness	4	4	4						get +2 when used to defend from anywhere
Bridge Troll	Toughness	4	4	4						get +2 when used to defend from anywhere
Bridge Troll	Close wounds	4	4	5		1/3		Spend to recover 1 minor wound or; spend 3 to recover 1 major wound		
Bridge Troll	Close wounds	4	4	5		1/3		Spend to recover 1 minor wound or; spend 3 to recover 1 major wound		
										
										
Giant Rat	Giant Rat							Light Armor		
Giant Rat	Bite	3	2	1		2		Attack |x|: strength = |x| + 2		
Giant Rat	Bite	3	2	1		2		Attack |x|: strength = |x| + 2		
Giant Rat	Bite	3	2	1		2		Attack |x|: strength = |x| + 2		
Giant Rat	Bite	3	2	1		2		Attack |x|: strength = |x| + 2		
Giant Rat	Chomp	4	3	2		3		Attack |x|: strength = |x| + 4		
Giant Rat	Chomp	4	3	2		3		Attack |x|: strength = |x| + 4		
Giant Rat	Chomp	4	3	2		3		Attack |x|: strength = |x| + 4		
Giant Rat	Chomp	4	3	2		3		Attack |x|: strength = |x| + 4		
Giant Rat	Claw	1	4	1		1		Attack |y|: strength = |y| + 2		
Giant Rat	Claw	1	4	1		1		Attack |y|: strength = |y| + 2		
Giant Rat	Claw	1	4	1		1		Attack |y|: strength = |y| + 2		
Giant Rat	Claw	1	4	1		1		Attack |y|: strength = |y| + 2		
Giant Rat	Rake	3	2	3		2		Attack |y|: strength = |y| + 3		
Giant Rat	Rake	3	2	3		2		Attack |y|: strength = |y| + 3		
Giant Rat	Rake	3	2	3		2		Attack |y|: strength = |y| + 3		
Giant Rat	Rake	3	2	3		2		Attack |y|: strength = |y| + 3		
Giant Rat	Rats tenacity	3	3	3						
Giant Rat	Rats tenacity	3	3	3						
Giant Rat	Rats tenacity	3	3	3						
Giant Rat	Rats tenacity	3	3	3						
Giant Rat	Skittering Speed	2	4	2						
Giant Rat	Skittering Speed	2	4	2						
Giant Rat	Skittering Speed	2	4	2						
Giant Rat	Skittering Speed	2	4	2						
										
										
Fungus Monster	Fungus Monster				Spores, Cap, Psuedopods			Light Armor		
Fungus Monster	Psuedopod Punch	5	3	3		2	Psuedopod	Attack |x|: strength = |x| +4		
Fungus Monster	Psuedopod Punch	5	3	3		2	Psuedopod	Attack |x|: strength = |x| +4		
