actor,name,red,yellow,blue,keywordProvide,cost,keywordCost,action,effect,details
Zombie,Zombie,x,x,x,,,,Always attacks or blocks if possible ,draws only 1 card per turn,light armor; spend to fatigue
Zombie,Shamble at,2,0,0,,2,,attack |x|: strength = |x| + 3,basic wound,
Zombie,Shamble at,2,0,0,,2,,attack |x|: strength = |x| + 3,basic wound,
Zombie,Shamble at,2,0,0,,2,,attack |x|: strength = |x| + 3,basic wound,
Zombie,Shamble at,3,0,0,,2,,attack |x|: strength = |x| + 3,basic wound,
Zombie,Shamble at,3,0,0,,2,,attack |x|: strength = |x| + 3,basic wound,
Zombie,Shamble at,3,0,0,,2,,attack |x|: strength = |x| + 3,basic wound,
Zombie,Shamble at,3,0,0,,2,,attack |x|: strength = |x| + 3,basic wound,
Zombie,Shamble at,3,0,0,,2,,attack |x|: strength = |x| + 3,basic wound,
Zombie,Shamble at,4,0,0,,2,,attack |x|: strength = |x| + 3,basic wound,
Zombie,Shamble at,4,0,0,,2,,attack |x|: strength = |x| + 3,basic wound,
Zombie,Shamble at,4,0,0,,2,,attack |x|: strength = |x| + 3,basic wound,
Zombie,Shamble at,4,0,0,,2,,attack |x|: strength = |x| + 3,basic wound,
Zombie,Shamble at,4,0,0,,2,,attack |x|: strength = |x| + 3,basic wound,
Zombie,Shamble at,4,0,0,,2,,attack |x|: strength = |x| + 3,basic wound,
Zombie,Shamble at,4,0,0,,2,,attack |x|: strength = |x| + 3,basic wound,
Zombie,Shamble at,4,0,0,,2,,attack |x|: strength = |x| + 3,basic wound,
Zombie,Shamble at,4,0,0,,2,,attack |x|: strength = |x| + 3,basic wound,
Zombie,Shamble at,5,0,0,,2,,attack |x|: strength = |x| + 3,basic wound,
Zombie,Shamble at,5,0,0,,2,,attack |x|: strength = |x| + 3,basic wound,
Zombie,Shamble at,5,0,0,,2,,attack |x|: strength = |x| + 3,basic wound,
Zombie,Shamble at,5,0,0,,2,,attack |x|: strength = |x| + 3,basic wound,
Zombie,Shamble at,5,0,0,,2,,attack |x|: strength = |x| + 3,basic wound,
Zombie,Shamble at,5,0,0,,2,,attack |x|: strength = |x| + 3,basic wound,
Zombie,Shamble at,6,0,0,,2,,attack |x|: strength = |x| + 3,basic wound,
,,,,,,,,,,
,,,,,,,,,,
Spark Dragon,Spark Dragon,x,y,z,"Lightning, Fire, Teeth, Claws, Wings",,,light armor,,
Spark Dragon,Zap,3,8,3,,1,Lightning,attack |y|: strength = |y| + 4,basic wound,
Spark Dragon,Zap,3,8,3,,1,Lightning,attack |y|: strength = |y| + 4,basic wound,
Spark Dragon,Zap,3,8,3,,1,Lightning,attack |y|: strength = |y| + 4,basic wound,
Spark Dragon,Bite,6,4,3,,2,Teeth,attack |x|: strength = |x| + 6,basic wound,
Spark Dragon,Bite,6,4,3,,2,Teeth,attack |x|: strength = |x| + 6,basic wound,
Spark Dragon,Bite,6,4,3,,2,Teeth,attack |x|: strength = |x| + 6,basic wound,
Spark Dragon,Claw,4,5,3,,1,Claws,attack |y|: strength = |y| + 5,basic wound,
Spark Dragon,Claw,4,5,3,,1,Claws,attack |y|: strength = |y| + 5,basic wound,
Spark Dragon,Claw,4,5,3,,1,Claws,attack |y|: strength = |y| + 5,basic wound,
Spark Dragon,Claw,4,5,3,,1,Claws,attack |y|: strength = |y| + 5,basic wound,
Spark Dragon,Claw,4,5,3,,1,Claws,attack |y|: strength = |y| + 5,basic wound,
Spark Dragon,Claw,4,5,3,,1,Claws,attack |y|: strength = |y| + 5,basic wound,
Spark Dragon,Burn,8,3,3,,1,Fire,attack |x|: strength = |x| + 4,basic wound,
Spark Dragon,Burn,8,3,3,,1,Fire,attack |x|: strength = |x| + 4,basic wound,
Spark Dragon,Burn,8,3,3,,1,Fire,attack |x|: strength = |x| + 4,basic wound,
Spark Dragon,Fire spray,5,4,3,,2,Fire,attack |x|: strength = |x| + 3,basic wound,affects all enemies
Spark Dragon,Pounce,3,6,3,,3,Claws,attack |y|: strength = |y| + 8,basic wound,Can be used as a resourse for a claw attack next round
Spark Dragon,Pounce,3,6,3,,3,Claws,attack |y|: strength = |y| + 8,basic wound,Can be used as a resourse for a claw attack next round
Spark Dragon,Dive Bomb,0,10,0,,2,Wings,attack |y|: strength = |y| + 2,basic wound,
Spark Dragon,Shock bite,5,6,3,,3,Teeth Lightning,attack |y|: strength = |y| - 4,basic wound,also attack |x|: strength = |x| - 6
Spark Dragon,Too hot to touch,6,4,3,,1,Fire,attack |x|: strength = |x|,basic wound,when used in defense can be played as an attack next round
Spark Dragon,Electrified,4,6,3,,1,Lightning,attack |y|: strength = |y|,basic wound,when used in defense can be played as an attack next round
Spark Dragon,Zoom,7,9,5,,,,,,
Spark Dragon,Dragon scales,9,7,5,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Goblin,Goblin,x,y,z,Sword,,,All attacks copy per goblin,Attack with random card,Light armor
Goblin,Poke with stick,2,2,1,,2,Sword,attack |x|: strength = |x| - 1,basic wound,
Goblin,Poke with stick,2,2,1,,2,Sword,attack |x|: strength = |x| - 1,basic wound,
Goblin,Poke with stick,2,2,1,,2,Sword,attack |x|: strength = |x| - 1,basic wound,
Goblin,Poke with stick,2,2,1,,2,Sword,attack |x|: strength = |x| - 1,basic wound,
Goblin,Poke with stick,2,2,1,,2,Sword,attack |x|: strength = |x| - 1,basic wound,
Goblin,Poke with stick,2,2,1,,2,Sword,attack |x|: strength = |x| - 1,basic wound,
Goblin,Slash with stick,1,2,1,,2,Sword,attack |x|: strength = |x| + 1,basic wound,
Goblin,Slash with stick,1,2,1,,2,Sword,attack |x|: strength = |x| + 1,basic wound,
Goblin,Slash with stick,1,2,1,,2,Sword,attack |x|: strength = |x| + 1,basic wound,
Goblin,Slash with stick,1,2,1,,2,Sword,attack |x|: strength = |x| + 1,basic wound,
Goblin,Slash with stick,1,2,1,,2,Sword,attack |x|: strength = |x| + 1,basic wound,
Goblin,Slash with stick,1,2,1,,2,Sword,attack |x|: strength = |x| + 1,basic wound,
Goblin,Whack,3,1,1,,1,Sword,attack |x|: strength = |x| - 2,basic wound,
Goblin,Whack,3,1,1,,1,Sword,attack |x|: strength = |x| - 2,basic wound,
Goblin,Whack,3,1,1,,1,Sword,attack |x|: strength = |x| - 2,basic wound,
Goblin,Whack,3,1,1,,1,Sword,attack |x|: strength = |x| - 2,basic wound,
Goblin,Whack,3,1,1,,1,Sword,attack |x|: strength = |x| - 2,basic wound,
Goblin,Whack,3,1,1,,1,Sword,attack |x|: strength = |x| - 2,basic wound,
Goblin,Mob,1,2,1,,2,,attack |x|: strength = |x| - 1,basic wound,each sucessive attack +1 strength
Goblin,Mob,1,2,1,,2,,attack |x|: strength = |x| - 1,basic wound,each sucessive attack +1 strength
Goblin,Mob,1,2,1,,2,,attack |x|: strength = |x| - 1,basic wound,each sucessive attack +1 strength
Goblin,Mob,1,2,1,,2,,attack |x|: strength = |x| - 1,basic wound,each sucessive attack +1 strength
Goblin,Mob,1,2,1,,2,,attack |x|: strength = |x| - 1,basic wound,each sucessive attack +1 strength
Goblin,Mob,1,2,1,,2,,attack |x|: strength = |x| - 1,basic wound,each sucessive attack +1 strength
,,,,,,,,,,
,,,,,,,,,,
Wolf,Wolf,x,y,z,Teeth Claws,,,No armor,,
Wolf,Bite,1,2,2,,2,,attack |x|: strength = |x| + 4,basic wound,
