Rolling hills	The start of the trek up the mountain is calm enough with rolling, generally grassy hills	
Goats	A heard of goats, with a goatherd watching them	
Flower medow	A medow of wildflowers	
Ogre	At any edge of civilization ogres can be found attacking those that venture beyond it. The mountains are no exception	An ogre defends the path and must be fought to continue
Boulderfall	A pile of boulders has crashed down from a nearby peak, blocking the pathway	
Rock face	The path stops abruptly in a rock face	
Ladder up the rock face	There is a rickety ladder that goes up this section of rock	
Crumbling ladder	As soon as you put weight on the ladder it falls apart, the wood too old to be used	
End of the path	this is as far up the mountain as the path goes, beyond here so few adventurers make it 	Rockwall Redbeard can show you the way from here to the valley of shrines
Cave	Finally a safe place, you can rest here for  the night before continuing	
Cold winds	As you climb higher icy winds blow down from the mountain top	
Sky zombies	A group of 6 zombies, different from normal their skin is tight and white, almost mummified	
Dangerous cave	This cave is not so safe, but there is magic here	
Ice sheet	You must cross a sheet of ice to continue towards the valley	
Dead adventurers	The corpses of a pair of adventurers who previouly attempted this journey for the king	
Unnatural life	As you examine the two corpses they groan, stand up, and attack you with hunger and despair in their eyes	Fight 2 weakness warriors
Gateway guardian Golem	A Golem stands guard at the entrance to the valley of shrines	
