actor,name,red,yellow,blue,keywordProvide,cost,keywordCost,action,effect,details
shield-fighter,Light Mail,,,,armored,,,"Light Armor: 1 flip on defense, +1 fatigue on reshuffle",,
shield-fighter,Kite Shield,,,,shield,,,,,
shield-fighter,Battleaxe,,,,"weapon, cutting, axe, heavy weapon",,,,,
shield-fighter,Power,5,2,2,,,,,,
shield-fighter,Shield Block,3,2,2,,1+,shield,defend |x| or |y|: strength = |x| ,,recover 1 resource to hand
shield-fighter,Power Attack,4,2,2,,2,heavy weapon,attack |x|: strength = |x| + 3,basic wound,
shield-fighter,Shield Deflect,2,3,2,,1+,shield,defend |x| or |y|: strength = |x| ,,you can save 1 resource from this and use it on attack next turn
shield-fighter,Shield Bash,3,2,2,,0,shield,attack |x|: strength |x| +2,cannot inflict more than a minor wound,
shield-fighter,Attack,3,2,2,,1,,attack |x|: strength |x| + 2,basic wound,
shield-fighter,Hide behind shield,4,3,2,,0+,shield,"defend |x| or |y|: strength |x|+3, use this (with different resources) against any number of attacks. Do not draw this turn",,
shield-fighter,Opportune Shield Placement,2,2,2,,,,,,|x| and |y| +3 when used to defend from anywhere if you have a shield
shield-fighter,Endure,1,0,0,,,,,,strength +4 when used to defend from anywhere
shield-fighter,Pressing Attack,4,1,1,,1,,attack |x|: strength = |x|,basic wound,can spend this on an attack next turn
shield-fighter,Consistent Attack,2,2,3,,1,,attack |x|: strength = |x| + 2,basic wound,Option: recover to hand then expend your first draw
shield-fighter,Make Opportunity,3,3,3,,,,defend: you may use this as a resource to attack next turn,,
shield-fighter,Clumsy Attack,3,1,1,,2,,attack |x|: strength = |x| + 2,basic wound,
shield-fighter,Shield Sacrifice,2,2,2,,0+,shield,defend |x| or |y|: strength = |x|,,"if your shield is undamaged, you can damage your shield to downgrade any wound you recieve from this attack by 1 level"
shield-fighter,All in,2,2,1,,3,,attack |x|: strength = |x| + 4,basic wound,
shield-fighter,Athletics,4,4,2,,,,,,
shield-fighter,Bully,2,2,2,,1,,attack |x|: strength = |x|,basic wound,target must expend a card to attack next roud
shield-fighter,Shielded Strike,3,3,2,,1,shield,attack |x|: strength = |x| + 1,basic wound,you may apply this card to defense this round
shield-fighter,Sunder Armor,4,2,2,,2,axe,"attack |x|: strength |x| + 2, ignore 1 armor",Armor damage (on any success),
shield-fighter,Unstoppable chop,4,2,2,,3,axe,attack |x|: strength = |x| + 5,basic wound,
shield-fighter,Bravery,4,2,2,,,,,,|z| + 3 when used to defend from anywhere
shield-fighter,Shielded Stance,2,2,2,,,shield,action: play as state,,"you may defend |x| or |y|: strength = |x| + 1 at will. You can use shielded stance as a resource for one of these defenses, but then you expend it. expend when you attack."
shield-fighter,Conditioning,3,3,3,,,,,,
shield-fighter,Demoralize,4,2,2,,1,,"attack |z|: strength = |x| + 3, no armor",Target discards 1/3/All cards,
