actor,name,red,yellow,blue,keywordProvide,cost,keywordCost,action,effect,details
wizard,Mage's focus,2,2,5,arcane,,,,,
wizard,Fire blast,3,2,3,"arcane, fire",3,arcane or fire,attack |x|: strength (|x| or |z|) + 4,basic fire wound,
wizard,Sleep Spell,2,2,3,"arcane, mind",3,arcane or mind,"attack |z|: strength |z|+3, ranged",Minor: Stun 2; Major: cannot attack or draw until attacked or someone uses an action discard; Critical: unconsious,
wizard,Shield Spell,3,3,3,"arcane, force",1+,arcane or force,"defend |x| or |y|: strength |z| + 4, if defense exceeds attack by 6 recover this to hand",,
wizard,Zap,2,3,3,"arcane, lightning",1,arcane or lightning,attack |y|: strength (|z| or |y|) + 2,basic lightning wound,
wizard,Earth punch,4,1,2,"arcane, earth",2,arcane or earth,attack |x|: strength (|x| or |z|) + 3,basic crushing wound,
wizard,Earth's Solidity,5,1,1,earth,,,,,
wizard,Water's Fluidity,3,4,3,water,,,,,
wizard,The fire within,2,5,2,fire,,,,,
wizard,Quick as lightning,1,5,2,lightning,,,,,
wizard,Celerity,2,3,2,arcane,1,arcane,action: place this as state,,"Upkeep: draw 1 card, if T2 or longer, fatigue 1 or fatigue this face up"
wizard,Stamina Spell,4,3,3,arcane,1,arcane,action: place this as state,,"Fatigue onto this card instead of to fatigue. When this has two cards on it, expend them and fatigue this face up"
wizard,Cauterize wound,3,2,2,"arcane, fire",1+,arcane or fire,action: discard a minor bleed or a major bleed if |x| is 10 or greater,,
wizard,Force missile,2,3,3,"arcane, force",3,arcane or force,"attack |x|: strength (|z||) + 3, ranged",basic piercing  wound,
wizard,Fireball,4,2,3,"arcane, fire",5,arcane or fire,"attack |x|: strength (|x| or |z|) + 4, attack all within medium area",basic fire wound,
wizard,Mirror Image,2,3,3,"arcane, illusion",2+,arcane or illusion,action: place this as state with it's resources under it,,Expend this or a card under it to negate an attack
wizard,Grease,3,3,3,"arcane, earth",3,arcane or earth,"attack |y|: strength (|x| or |z|) + 2, ignore armor, attack all within small area","minor: knockdown, major: knockdown + daze, critical: knockdown + daze 2 + stun 2",
wizard,Slow,2,3,3,"arcane, water",2,arcane or water,"attack |x|: strength (|y| or |z|) + 2, ignore armor","minor: slow 2, major: slow 5, slow 24",
wizard,Ice Bolt,3,3,3,"arcane, water",3,arcane or water,"attack |y|: strength (|y| or |z|)  + 1, ignore armor",basic piercing wound,
wizard,Rock missile,4,2,3,"arcane, earth",4,arcane or earth,attack |x|: strength (|x| or |z|) + 4,,
wizard,Stone Skin,2,2,1,"arcane, earth",2,arcane or earth,action: place this as state,,"you can use this as a resource on defense without expending it. If you take a red wound, fatigue this instead."
wizard,Stone Parry,4,1,2,"arcane, earth",1+,arcane or earth,defense |x|: strength |x|,,recover resources used with this to hand
wizard,Water Dodge,1,4,2,"arcane, water",1+,arcane or water,defense |x| or |y|: strength |y|,,recover 1 resource used with this
wizard,Mind Blast,1,1,4,"arcane, mind",4,arcane or mind,"attack |z|: strength |z|, ignore armor",basic mind wound,
